id,Name,Kingdom,Class,Family,Taxa,Count
320,Avatha chinensis,Animalia,Insecta,Erebidae,moth,453
321,Trilocha varians,Animalia,Insecta,Bombycidae,moth,452
322,Amblychia angeronaria,Animalia,Insecta,Geometridae,moth,452
323,Hypena longipennis,Animalia,Insecta,Erebidae,moth,451
324,Amphitorna purpureofascia,Animalia,Insecta,Drepanidae,moth,451
325,Genus Pogonopygia,Animalia,Insecta,Geometridae,moth,451
326,Genus Progonia,Animalia,Insecta,Erebidae,moth,451
327,Mithuna arizana,Animalia,Insecta,Erebidae,moth,450
328,Family Choreutidae,Animalia,Insecta,Choreutidae,moth,448
329,Genus Bradina,Animalia,Insecta,Crambidae,moth,444
330,Heterolocha coccinea,Animalia,Insecta,Geometridae,moth,443
331,Parasa shirakii,Animalia,Insecta,Limacodidae,moth,443
332,Tisis mesozosta,Animalia,Insecta,Lecithoceridae,moth,442
333,Genus Blenina,Animalia,Insecta,Nolidae,moth,441
334,Genus Alcis,Animalia,Insecta,Geometridae,moth,437
335,Ampittia virgata myakei,Animalia,Insecta,Hesperiidae,butterfly,437
336,Marumba sperchius,Animalia,Insecta,Sphingidae,moth,437
337,Papilio demoleus,Animalia,Insecta,Papilionidae,butterfly,436
338,Papilio thaiwanus,Animalia,Insecta,Papilionidae,butterfly,435
339,Genus Mythimna,Animalia,Insecta,Noctuidae,moth,435
340,Rapala varuna formosana,Animalia,Insecta,Lycaenidae,butterfly,434
341,Arna bipunctapex,Animalia,Insecta,Erebidae,moth,433
342,Papilio polytes,Animalia,Insecta,Papilionidae,butterfly,430
343,Choreutis basalis,Animalia,Insecta,Choreutidae,moth,430
344,Bastilla fulvotaenia,Animalia,Insecta,Erebidae,moth,429
345,Timelaea albescens formosana,Animalia,Insecta,Nymphalidae,butterfly,428
346,Catoria olivescens,Animalia,Insecta,Geometridae,moth,427
347,Amsactoides solitaria,Animalia,Insecta,Erebidae,moth,426
348,Potanthus motzui,Animalia,Insecta,Hesperiidae,butterfly,426
349,Microblepsis violacea,Animalia,Insecta,Drepanidae,moth,425
350,Genus Lasioglossum,Animalia,Insecta,Halictidae,other,424
351,Asota caricae,Animalia,Insecta,Erebidae,moth,424
352,Serrodes campana,Animalia,Insecta,Erebidae,moth,423
353,Family Gracillariidae,Animalia,Insecta,Gracillariidae,moth,423
354,Genus Narosoideus,Animalia,Insecta,Limacodidae,moth,423
355,Percnia luridaria,Animalia,Insecta,Geometridae,moth,423
356,Gynautocera rubriscutellata,Animalia,Insecta,Zygaenidae,moth,422
357,Brachythemis contaminata,Animalia,Insecta,Libellulidae,odonata,422
358,Phlossa conjuncta,Animalia,Insecta,Limacodidae,moth,418
359,Graphium doson postianus,Animalia,Insecta,Papilionidae,butterfly,417
360,Mocis undata,Animalia,Insecta,Erebidae,moth,414
361,Eilema ratonis,Animalia,Insecta,Erebidae,moth,414
362,Herminia vermiculata,Animalia,Insecta,Erebidae,moth,413
363,Xandrames latiferaria,Animalia,Insecta,Geometridae,moth,413
364,Dolbina inexacta,Animalia,Insecta,Sphingidae,moth,412
365,Calliteara postfusca,Animalia,Insecta,Erebidae,moth,411
366,Acosmerycoides harterti,Animalia,Insecta,Sphingidae,moth,411
367,Simplicia bimarginata,Animalia,Insecta,Erebidae,moth,410
368,Notodonta griseotincta,Animalia,Insecta,Notodontidae,moth,409
369,Orthocraspeda furva,Animalia,Insecta,Limacodidae,moth,409
370,Family Curculionidae,Animalia,Insecta,Curculionidae,coleoptera,407
371,Problepsis albidior,Animalia,Insecta,Geometridae,moth,407
372,Scopula propinquaria,Animalia,Insecta,Geometridae,moth,406
373,Genus Diestrammena,Animalia,Insecta,Rhaphidophoridae,other,405
374,Lethe europa pavida,Animalia,Insecta,Nymphalidae,butterfly,404
375,Neptis taiwana,Animalia,Insecta,Nymphalidae,butterfly,403
376,Schistophleps bipuncta,Animalia,Insecta,Erebidae,moth,402
377,Locharna strigipennis,Animalia,Insecta,Erebidae,moth,402
378,Deudorix epijarbas menesicles,Animalia,Insecta,Lycaenidae,butterfly,402
379,Hypocala subsatura,Animalia,Insecta,Erebidae,moth,402
380,Racotis boarmiaria,Animalia,Insecta,Geometridae,moth,400
381,Genus Bastilla,Animalia,Insecta,Erebidae,moth,399
382,Conocephalus melaenus,Animalia,Insecta,Tettigoniidae,other,399
383,Gasteracantha kuhli,Animalia,Arachnida,Araneidae,spider,396
384,Apospasta rantaizanensis,Animalia,Insecta,Noctuidae,moth,395
385,Lethe chandica ratnacri,Animalia,Insecta,Nymphalidae,butterfly,395
386,Thyas coronata,Animalia,Insecta,Erebidae,moth,395
387,Nyctemera formosana,Animalia,Insecta,Erebidae,moth,395
388,Cirrhochrista spissalis,Animalia,Insecta,Crambidae,moth,394
389,Mycalesis gotama nanda,Animalia,Insecta,Nymphalidae,butterfly,393
390,Family Cossidae,Animalia,Insecta,Cossidae,moth,393
391,Monema rubriceps,Animalia,Insecta,Limacodidae,moth,392
392,Syntypistis cyanea,Animalia,Insecta,Notodontidae,moth,391
393,Appias lyncida eleonora,Animalia,Insecta,Pieridae,butterfly,391
394,Acolutha pictaria,Animalia,Insecta,Geometridae,moth,390
395,Pidorus atratus,Animalia,Insecta,Zygaenidae,moth,389
396,Bradina diagonalis,Animalia,Insecta,Crambidae,moth,387
397,Suastus gremius,Animalia,Insecta,Hesperiidae,butterfly,387
398,Callambulyx tatarinovii,Animalia,Insecta,Sphingidae,moth,387
399,Papilio protenor,Animalia,Insecta,Papilionidae,butterfly,386
